distance_to_pipe,current_y,velocity,pipe_y,y_error,action
100,218.5,-3.5,109,11990.25,0
90,215.5,-3.0,109,11342.25,0
80,213.0,-2.5,109,10816.0,0
70,211.0,-2.0,109,10404.0,0
60,209.5,-1.5,109,10100.25,0
50,208.5,-1.0,109,9900.25,0
40,208.0,-0.5,109,9801.0,0
30,208.0,0.0,109,9801.0,1
20,200.5,-7.5,109,8372.25,0
10,193.5,-7.0,109,7140.25,0
0,187.0,-6.5,109,6084.0,1
-10,179.5,-7.5,109,4970.25,0
-20,172.5,-7.0,109,4032.25,0
-30,166.0,-6.5,109,3249.0,0
-40,160.0,-6.0,109,2601.0,0
160,154.5,-5.5,139,240.25,1
150,147.0,-7.5,139,64.0,0
140,140.0,-7.0,139,1.0,0
130,133.5,-6.5,139,30.25,0
120,127.5,-6.0,139,132.25,0
110,122.0,-5.5,139,289.0,0
100,117.0,-5.0,139,484.0,0
90,112.5,-4.5,139,702.25,0
80,108.5,-4.0,139,930.25,0
70,105.0,-3.5,139,1156.0,0
60,102.0,-3.0,139,1369.0,0
50,99.5,-2.5,139,1560.25,0
40,97.5,-2.0,139,1722.25,0
30,96.0,-1.5,139,1849.0,0
20,95.0,-1.0,139,1936.0,0
350,200,0,100,10000,0
340,200.5,0.5,100,10100.25,0
330,201.5,1.0,100,10302.25,0
320,203.0,1.5,100,10609.0,0
310,205.0,2.0,100,11025.0,0
300,207.5,2.5,100,11556.25,0
290,210.5,3.0,100,12210.25,1
280,203.0,-7.5,100,10609.0,0
270,196.0,-7.0,100,9216.0,0
260,189.5,-6.5,100,8010.25,0
250,183.5,-6.0,100,6972.25,0
240,178.0,-5.5,100,6084.0,1
230,170.5,-7.5,100,4970.25,1
220,163.0,-7.5,100,3969.0,0
210,156.0,-7.0,100,3136.0,0
200,149.5,-6.5,100,2450.25,0
190,143.5,-6.0,100,1892.25,0
180,138.0,-5.5,100,1444.0,1
170,130.5,-7.5,100,930.25,1
160,123.0,-7.5,100,529.0,0
150,116.0,-7.0,100,256.0,0
140,109.5,-6.5,100,90.25,0
130,103.5,-6.0,100,12.25,0
120,98.0,-5.5,100,4.0,0
110,93.0,-5.0,100,49.0,1
100,85.5,-7.5,100,210.25,0
90,78.5,-7.0,100,462.25,0
80,72.0,-6.5,100,784.0,0
70,66.0,-6.0,100,1156.0,0
60,60.5,-5.5,100,1560.25,0
50,55.5,-5.0,100,1980.25,0
40,51.0,-4.5,100,2401.0,0
30,47.0,-4.0,100,2809.0,0
20,43.5,-3.5,100,3192.25,0
350,200,0,119,6561,0
340,200.5,0.5,119,6642.25,0
330,201.5,1.0,119,6806.25,0
320,203.0,1.5,119,7056.0,0
310,205.0,2.0,119,7396.0,1
300,197.5,-7.5,119,6162.25,0
290,190.5,-7.0,119,5112.25,0
280,184.0,-6.5,119,4225.0,0
270,178.0,-6.0,119,3481.0,0
260,172.5,-5.5,119,2862.25,0
250,167.5,-5.0,119,2352.25,0
240,163.0,-4.5,119,1936.0,0
230,159.0,-4.0,119,1600.0,0
220,155.5,-3.5,119,1332.25,0
210,152.5,-3.0,119,1122.25,1
200,145.0,-7.5,119,676.0,0
190,138.0,-7.0,119,361.0,0
180,131.5,-6.5,119,156.25,0
170,125.5,-6.0,119,42.25,0
160,120.0,-5.5,119,1.0,0
150,115.0,-5.0,119,16.0,0
140,110.5,-4.5,119,72.25,0
130,106.5,-4.0,119,156.25,0
120,103.0,-3.5,119,256.0,0
110,100.0,-3.0,119,361.0,0
100,97.5,-2.5,119,462.25,0
90,95.5,-2.0,119,552.25,0
80,94.0,-1.5,119,625.0,0
70,93.0,-1.0,119,676.0,1
60,85.5,-7.5,119,1122.25,0
50,78.5,-7.0,119,1640.25,0
40,72.0,-6.5,119,2209.0,0
30,66.0,-6.0,119,2809.0,1
20,58.5,-7.5,119,3660.25,0
350,200,0,142,3364,0
340,200.5,0.5,142,3422.25,0
330,201.5,1.0,142,3540.25,0
320,203.0,1.5,142,3721.0,1
310,195.5,-7.5,142,2862.25,0
300,188.5,-7.0,142,2162.25,0
290,182.0,-6.5,142,1600.0,0
280,176.0,-6.0,142,1156.0,0
270,170.5,-5.5,142,812.25,0
260,165.5,-5.0,142,552.25,0
250,161.0,-4.5,142,361.0,1
240,153.5,-7.5,142,132.25,0
230,146.5,-7.0,142,20.25,0
220,140.0,-6.5,142,4.0,0
210,134.0,-6.0,142,64.0,0
200,128.5,-5.5,142,182.25,0
190,123.5,-5.0,142,342.25,0
180,119.0,-4.5,142,529.0,0
170,115.0,-4.0,142,729.0,0
160,111.5,-3.5,142,930.25,0
150,108.5,-3.0,142,1122.25,0
140,106.0,-2.5,142,1296.0,0
130,104.0,-2.0,142,1444.0,0
120,102.5,-1.5,142,1560.25,0
110,101.5,-1.0,142,1640.25,0
100,101.0,-0.5,142,1681.0,0
90,101.0,0.0,142,1681.0,0
80,101.5,0.5,142,1640.25,0
70,102.5,1.0,142,1560.25,0
60,104.0,1.5,142,1444.0,0
50,106.0,2.0,142,1296.0,0
40,108.5,2.5,142,1122.25,0
30,111.5,3.0,142,930.25,0
20,115.0,3.5,142,729.0,0
350,200,0,117,6889,0
340,200.5,0.5,117,6972.25,0
